%time,field.target0,field.target1,field.target2,field.target3,field.is_traj_end
1704355221424116297,-0.29767,-0.29767,-0.29767,-0.29767,0
1704355221924118545,-0.29301,-0.29301,-0.29301,-0.29301,0
1704355222424381148,-0.28806,-0.28806,-0.28806,-0.28806,0
1704355222924421598,-0.28282,-0.28282,-0.28282,-0.28282,0
1704355223424430175,-0.2773,-0.2773,-0.2773,-0.2773,0
1704355223924697359,-0.2715,-0.2715,-0.2715,-0.2715,0
1704355224425001573,-0.26542,-0.26542,-0.26542,-0.26542,0
1704355224924793595,-0.25908,-0.25908,-0.25908,-0.25908,0
1704355225424912947,-0.25247,-0.25247,-0.25247,-0.25247,0
1704355225925089213,-0.24561,-0.24561,-0.24561,-0.24561,0
1704355226425135913,-0.23851,-0.23851,-0.23851,-0.23851,0
1704355226925191929,-0.23118,-0.23118,-0.23118,-0.23118,0
1704355227425323847,-0.22362,-0.22362,-0.22362,-0.22362,0
1704355227925354503,-0.21585,-0.21585,-0.21585,-0.21585,0
1704355228425604266,-0.20788,-0.20788,-0.20788,-0.20788,0
1704355228925613995,-0.19972,-0.19972,-0.19972,-0.19972,0
1704355229425679510,-0.19139,-0.19139,-0.19139,-0.19139,0
1704355229929621937,-0.18289,-0.18289,-0.18289,-0.18289,0
1704355230429797270,-0.17424,-0.17424,-0.17424,-0.17424,0
1704355230929906868,-0.16546,-0.16546,-0.16546,-0.16546,0
1704355231430208172,-0.15656,-0.15656,-0.15656,-0.15656,0
1704355231930154272,-0.15024,-0.15024,-0.15024,-0.15024,0
1704355232430217853,-0.1479,-0.1479,-0.1479,-0.1479,0
1704355232930352197,-0.14541,-0.14541,-0.14541,-0.14541,0
1704355233430520297,-0.14275,-0.14275,-0.14275,-0.14275,0
1704355233930559385,-0.13995,-0.13995,-0.13995,-0.13995,0
1704355234430687458,-0.13699,-0.13699,-0.13699,-0.13699,0
1704355234930747366,-0.13388,-0.13388,-0.13388,-0.13388,0
1704355235430896293,-0.13063,-0.13063,-0.13063,-0.13063,0
1704355235930943282,-0.12724,-0.12724,-0.12724,-0.12724,0
1704355236431192456,-0.12373,-0.12373,-0.12373,-0.12373,0
1704355236931260795,-0.1201,-0.1201,-0.1201,-0.1201,0
1704355237431295261,-0.11635,-0.11635,-0.11635,-0.11635,0
1704355237931470369,-0.11251,-0.11251,-0.11251,-0.11251,0
1704355238431568018,-0.10858,-0.10858,-0.10858,-0.10858,0
1704355238931713840,-0.10457,-0.10457,-0.10457,-0.10457,0
1704355239431849618,-0.10049,-0.10049,-0.10049,-0.10049,0
1704355239931961018,-0.09636,-0.09636,-0.09636,-0.09636,0
1704355240432069024,-0.09218,-0.09218,-0.09218,-0.09218,0
1704355240932095649,-0.08798,-0.08798,-0.08798,-0.08798,0
1704355241432193355,-0.08376,-0.08376,-0.08376,-0.08376,0
1704355241932325908,-0.07954,-0.07954,-0.07954,-0.07954,0
1704355242432444685,-0.07532,-0.07532,-0.07532,-0.07532,0
1704355242932519724,-0.07113,-0.07113,-0.07113,-0.07113,0
1704355243432618674,-0.06698,-0.06698,-0.06698,-0.06698,0
1704355243932705307,-0.06287,-0.06287,-0.06287,-0.06287,0
1704355244432839022,-0.05883,-0.05883,-0.05883,-0.05883,0
1704355244932931129,-0.05486,-0.05486,-0.05486,-0.05486,0
1704355245433048441,-0.05097,-0.05097,-0.05097,-0.05097,0
1704355245934046654,-0.04718,-0.04718,-0.04718,-0.04718,0
1704355246434150525,-0.0435,-0.0435,-0.0435,-0.0435,0
1704355246934283099,-0.03993,-0.03993,-0.03993,-0.03993,0
1704355247434402674,-0.03649,-0.03649,-0.03649,-0.03649,0
1704355247934493456,-0.03319,-0.03319,-0.03319,-0.03319,0
1704355248434568273,-0.03002,-0.03002,-0.03002,-0.03002,0
1704355248934742449,-0.02701,-0.02701,-0.02701,-0.02701,0
1704355249434837116,-0.02415,-0.02415,-0.02415,-0.02415,0
1704355249934912689,-0.02146,-0.02146,-0.02146,-0.02146,0
1704355250434969682,-0.01893,-0.01893,-0.01893,-0.01893,0
1704355250935135238,-0.01656,-0.01656,-0.01656,-0.01656,0
1704355251435208294,-0.01437,-0.01437,-0.01437,-0.01437,0
1704355251935327326,-0.01235,-0.01235,-0.01235,-0.01235,0
1704355252435402118,-0.0105,-0.0105,-0.0105,-0.0105,0
1704355252937209438,-0.00882,-0.00882,-0.00882,-0.00882,0
1704355253435828859,-0.00731,-0.00731,-0.00731,-0.00731,0
1704355253936000571,-0.00597,-0.00597,-0.00597,-0.00597,0
1704355254437034683,-0.00479,-0.00479,-0.00479,-0.00479,0
1704355254937074328,-0.00376,-0.00376,-0.00376,-0.00376,0
1704355255437157753,-0.00289,-0.00289,-0.00289,-0.00289,0
1704355255937291464,-0.00215,-0.00215,-0.00215,-0.00215,0
1704355256437548392,-0.00155,-0.00155,-0.00155,-0.00155,0
1704355256937474217,-0.00107,-0.00107,-0.00107,-0.00107,0
1704355257437597888,-0.0007,-0.0007,-0.0007,-0.0007,0
1704355257937677098,-0.00043,-0.00043,-0.00043,-0.00043,0
1704355258437783967,-0.00025,-0.00025,-0.00025,-0.00025,0
1704355258937922945,-0.00013,-0.00013,-0.00013,-0.00013,0
1704355259437999929,-7e-05,-7e-05,-7e-05,-7e-05,0
1704355259938127505,-5e-05,-5e-05,-5e-05,-5e-05,0
1704355260438250540,-5e-05,-5e-05,-5e-05,-5e-05,0
1704355260939089529,0.0,0.0,0.0,0.0,1
